City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
129,Marsabit,KE,2.3284,37.9899,60.75,68,88,18.57,overcast clouds
130,Maiduguri,NG,11.8464,13.1603,75.47,79,69,7.25,broken clouds
131,Kununurra,AU,-15.7667,128.7333,94.98,41,40,6.91,scattered clouds
132,Karaton,ID,-6.3424,106.1045,88.3,54,74,1.12,broken clouds
133,Poum,NC,-20.2333,164.0167,77.61,78,100,19.62,light rain
134,La Rioja,ES,42.25,-2.5,47.98,83,100,5.57,overcast clouds
135,Benguela,AO,-12.5763,13.4055,70.52,86,68,2.3,broken clouds
136,Billings,US,45.7833,-108.5007,76.77,25,0,5.75,clear sky
137,Ponta Do Sol,PT,32.6667,-17.1,70.72,85,74,5.79,broken clouds
138,Old Bridge,US,40.4148,-74.3654,64.35,74,100,3.0,overcast clouds
139,Derzhavinsk,KZ,51.1,66.3167,30.65,57,51,5.99,broken clouds
140,Buchanan,LR,5.8808,-10.0467,72.72,98,100,4.41,very heavy rain
141,Chima,IN,30.6854,76.0863,83.89,62,1,1.14,clear sky
142,Lebu,CL,-37.6167,-73.65,50.11,94,18,13.35,few clouds
143,Broome,US,42.2506,-75.833,53.62,90,100,5.75,overcast clouds
144,Kelvington,CA,52.1667,-103.5343,60.21,46,1,2.57,clear sky
145,Taoudenni,ML,22.6783,-3.9836,91.06,20,24,13.82,few clouds
146,Esperance,AU,-33.8667,121.9,66.11,56,8,12.48,clear sky
147,Longyearbyen,SJ,78.2186,15.6401,37.24,100,75,0.0,broken clouds
148,Beyneu,KZ,45.3167,55.2,63.16,50,100,20.33,overcast clouds
149,Birao,CF,10.2849,22.7882,68.4,94,16,3.11,few clouds
150,Brae,GB,60.3964,-1.353,50.31,91,34,5.1,scattered clouds
151,Korla,CN,41.7597,86.1469,72.39,26,33,16.44,scattered clouds
152,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,80.8,28,99,3.51,overcast clouds
153,Ntungamo,UG,-0.8833,29.65,60.78,95,86,2.44,overcast clouds
154,Boshnyakovo,RU,49.6333,142.1667,48.65,52,3,8.03,clear sky
155,Dingle,PH,10.9995,122.6711,85.37,71,100,3.22,overcast clouds
156,Borogontsy,RU,62.6683,131.1683,33.46,65,100,9.8,overcast clouds
157,Cap Malheureux,MU,-19.9842,57.6142,67.46,69,43,1.99,scattered clouds
158,Mantua,IT,45.1667,10.7833,56.44,89,44,1.01,scattered clouds
159,Taltal,CL,-25.4,-70.4833,56.66,73,0,1.66,clear sky
160,Baiyin,CN,36.5583,104.2081,69.13,38,72,3.18,broken clouds
161,Severo-Kurilsk,RU,50.6789,156.125,52.59,92,100,10.02,light rain
162,Ilulissat,GL,69.2167,-51.1,35.62,100,100,8.05,overcast clouds
163,Airai,TL,-8.9266,125.4092,76.93,54,51,1.83,broken clouds
164,Yakeshi,CN,49.2833,120.7333,63.36,33,28,23.24,scattered clouds
165,Provideniya,RU,64.3833,-173.3,41.36,87,100,15.99,overcast clouds
166,Port Elizabeth,ZA,-33.918,25.5701,60.31,88,20,8.05,few clouds
167,Pevek,RU,69.7008,170.3133,29.08,69,85,7.85,overcast clouds
168,Bireun,ID,5.203,96.7009,81.23,69,100,1.16,overcast clouds
169,Nikolskoye,RU,59.7035,30.7861,42.69,96,100,5.66,overcast clouds
170,Santa Maria,BR,-29.6842,-53.8069,54.7,71,75,9.22,broken clouds
171,Stilling,DK,56.0622,9.9882,53.06,91,100,4.0,overcast clouds
172,Boende,CD,-0.2167,20.8667,66.9,99,100,0.38,overcast clouds
173,Cochrane,CA,51.1834,-114.4687,64.62,35,0,2.3,clear sky
174,Katherine,AU,-14.4667,132.2667,93.52,36,44,13.8,scattered clouds
175,Tombouctou,ML,20.0,-3.0,90.46,20,86,8.25,overcast clouds
176,Shimoda,JP,34.6667,138.95,70.16,82,100,4.72,overcast clouds
177,Andradas,BR,-22.0681,-46.5692,59.85,95,100,2.71,moderate rain
178,Mwene-Ditu,CD,-7.0,23.45,65.89,90,100,5.06,overcast clouds
179,Coihaique,CL,-45.5752,-72.0662,50.61,61,0,5.75,clear sky
180,Hailar,CN,49.2,119.7,59.97,36,10,20.96,clear sky
181,Blahodatne,UA,50.6637,24.2492,49.57,88,100,5.3,overcast clouds
182,Leh,IN,34.1667,77.5833,50.23,54,29,5.77,scattered clouds
183,Lixourion,GR,38.2019,20.4314,69.8,82,6,7.9,clear sky
184,Rocha,UY,-34.4833,-54.3333,42.17,85,23,1.1,few clouds
185,Villazon,BO,-22.0866,-65.5942,32.59,80,15,7.38,few clouds
186,Lang Son,VN,21.8333,106.7333,73.27,95,100,6.42,overcast clouds
187,Zhangye,CN,38.9342,100.4517,75.7,16,0,10.09,clear sky
188,Touros,BR,-5.1989,-35.4608,75.97,73,6,12.77,clear sky
189,Ixtapa,MX,20.7,-105.2,77.23,94,100,21.85,overcast clouds
190,Baherden,TM,38.4362,57.4316,76.37,22,0,11.7,clear sky
191,Cayenne,GF,4.9333,-52.3333,75.24,94,0,2.3,clear sky
192,Diu,IN,20.7141,70.9822,81.19,71,9,7.02,clear sky
193,Qostanay,KZ,53.1667,63.5833,32.29,69,75,2.24,broken clouds
194,Port Shepstone,ZA,-30.7414,30.455,68.47,87,87,13.33,overcast clouds
195,Sorland,NO,67.667,12.6934,49.86,73,34,5.55,scattered clouds
196,Victoria,HK,22.2855,114.1577,82.18,87,100,11.01,overcast clouds
197,Sindang,ID,-7.0047,108.335,84.25,52,50,5.32,scattered clouds
198,Chapais,CA,49.7834,-74.8492,35.38,79,100,6.78,overcast clouds
199,Cape Town,ZA,-33.9258,18.4232,60.1,76,0,7.0,clear sky
200,Carnarvon,AU,-24.8667,113.6333,78.75,39,38,30.11,light rain
201,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,75,10.36,broken clouds
202,Cherskiy,RU,68.75,161.3,34.21,41,49,4.43,scattered clouds
203,Trincomalee,LK,8.5711,81.2335,86.54,61,73,18.28,broken clouds
204,Andra,RU,62.5147,65.8878,28.18,76,17,6.15,few clouds
205,At-Bashi,KG,41.1702,75.8106,55.4,31,91,1.97,overcast clouds
206,Huinan,CN,42.6225,126.2614,72.18,44,1,9.66,clear sky
207,Varhaug,NO,58.6147,5.6457,51.89,65,100,8.03,overcast clouds
208,Faya,SA,18.3851,42.4509,59.11,21,21,3.62,few clouds
209,Chistogorskiy,RU,53.9835,87.3843,34.29,68,100,6.73,overcast clouds
210,Vanimo,PG,-2.6741,141.3028,85.26,66,45,10.09,scattered clouds
211,Kamenka,RU,51.3223,42.7678,53.08,98,28,5.99,scattered clouds
212,San Sebastian,ES,43.3128,-1.975,59.65,85,100,12.66,moderate rain
213,Huntsville,US,34.7304,-86.5861,57.31,63,0,14.0,clear sky
214,Zhovtneve,UA,50.6637,24.2492,49.57,88,100,5.3,overcast clouds
