City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
473,Champerico,GT,79.77,14.3,-91.9167,overcast clouds,"Hotel y restaurante ""El Diamante"""
480,Miandrivazo,MG,76.08,-19.5167,45.4667,few clouds,Hôtel Arc En Ciel Miandrivazo
481,Shenzhen,CN,85.86,22.5455,114.0683,overcast clouds,Grand Skylight
484,Conceicao Da Barra,BR,72.79,-18.5933,-39.7322,scattered clouds,Cricaré Praia Hotel
488,Oussouye,SN,73.49,12.485,-16.5469,overcast clouds,Auberge du Routard
490,Estelle,US,75.2,29.8458,-90.1067,clear sky,Ohio
491,Kampot,KH,86.05,10.6167,104.1833,overcast clouds,Two Moons Hotel
497,Puerto Escondido,MX,79.5,15.85,-97.0667,overcast clouds,Aldea del Bazar Hotel and Spa
503,Bajil,YE,87.69,15.0584,43.2851,broken clouds,فندق حضرموت
507,Namatanai,PG,85.15,-3.6667,152.4333,few clouds,Seagulls Inn Namatani
509,Neiafu,TO,79.48,-18.65,-173.9833,scattered clouds,Mystic Sands Beachfront Accommodation
515,Manicore,BR,76.95,-5.8092,-61.3003,clear sky,Hotel Durval
516,Port Blair,IN,84.0,11.6667,92.75,broken clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
519,Velur,IN,81.57,12.9333,79.1333,moderate rain,NSR Lodge A/C
523,Sao Filipe,CV,80.26,14.8961,-24.4956,clear sky,Hotel Xaguate
524,Itapuranga,BR,76.05,-15.5622,-49.9486,broken clouds,Terraço Hotel
533,Portoferraio,IT,72.97,42.8115,10.3146,scattered clouds,Hotel Villa Ombrosa
535,Qui Nhon,VN,85.82,13.7667,109.2333,broken clouds,Seagull Hotel
536,Omboue,GA,73.49,-1.5746,9.2618,overcast clouds,Hotel Olako
539,Naraini,IN,85.77,25.1833,80.4833,clear sky,Chaurasiya marriage hall
540,Chifeng,CN,85.19,42.2683,118.9636,clear sky,Junyu Tiancheng Hotel
541,Pitiquito,MX,80.56,30.7,-112.0833,scattered clouds,La Víspera
542,Wewak,PG,84.2,-3.5534,143.6268,broken clouds,In Wewak Boutique Hotel
544,Ponnani,IN,79.92,10.767,75.9252,broken clouds,Rouba Residency
545,Nan,TH,82.42,18.8333,100.6667,clear sky,สะเนียน2
546,Caucaia,BR,79.03,-3.7361,-38.6531,scattered clouds,M.O.S. Logística - Filial Fortaleza
547,Shirgaon,IN,81.46,19.7,72.7,broken clouds,"Samarth Krupa Farm, Palghar"
549,Aden,YE,85.53,12.7794,45.0367,few clouds,Sama Emirate Hotel
550,Benghazi,LY,78.64,32.1167,20.0667,few clouds,Tibesti Hotel
553,Bara,NG,71.64,10.3744,10.7288,overcast clouds,
554,Alyangula,AU,83.44,-13.8483,136.4192,overcast clouds,Groote Eylandt Lodge
555,Pontianak,ID,84.18,-0.0333,109.3333,broken clouds,Aston Pontianak Hotel & Convention Center
556,Svay Rieng,KH,87.26,11.0879,105.7993,overcast clouds,Apsara guesthouse
558,Bonthe,SL,74.62,7.5264,-12.505,light rain,Bonthe Holiday Village
562,Aquiraz,BR,79.18,-3.9014,-38.3911,scattered clouds,Pousada Rua Camurupim
563,Lorengau,PG,85.57,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
564,Biak,ID,83.89,-0.9131,122.8766,overcast clouds,Penginapan Kim
570,Axim,GH,74.57,4.8699,-2.2405,overcast clouds,Axim Beach Resort And Spa
572,Honiara,SB,87.21,-9.4333,159.95,few clouds,Heritage Park Hotel
574,Doha,QA,82.38,25.2867,51.5333,clear sky,Mövenpick Doha
580,Faanui,PF,79.18,-16.4833,-151.75,clear sky,Bora-Bora Pearl Beach Resort & Spa
581,Kudahuvadhoo,MV,81.63,2.6708,72.8944,broken clouds,Niyama Private Islands Maldives
582,Naze,JP,83.32,28.3667,129.4833,broken clouds,Shishime Hotel
583,Belmonte,BR,72.39,-15.8631,-38.8828,clear sky,Pousada Monte Carmelo O Pão
585,Suez,EG,75.07,29.9737,32.5263,clear sky,Green House
586,Tamale,GH,71.28,9.4008,-0.8393,overcast clouds,Tap Hotel
591,Hit,IQ,74.28,33.6416,42.8251,clear sky,المعلق حسان رزاق
592,Madang,PG,85.64,-5.2246,145.7966,broken clouds,Comfort Inn Hotel
593,Mingaora,PK,75.94,34.7758,72.3625,clear sky,Burj Al Swat
594,Sao Geraldo Do Araguaia,BR,79.66,-6.4006,-48.555,clear sky,Hotel Por do Sol
596,Maragogi,BR,74.05,-9.0122,-35.2225,scattered clouds,Salinas do Maragogi All Inclusive Resort
597,Helong,CN,78.35,42.5397,128.9972,clear sky,Helong Hotel
598,Pringsewu,ID,88.65,-5.3582,104.9744,overcast clouds,Urban Style by Front One
599,Dakar,SN,82.53,14.6937,-17.4441,few clouds,Novotel Dakar
600,Mindelo,CV,80.15,16.8901,-24.9804,scattered clouds,Hotel Gaudi
604,Ligayan,PH,83.59,4.6533,119.4706,overcast clouds,
612,Pangai,TO,78.91,-19.8,-174.35,few clouds,Ha'apai Beach Resort
613,Merauke,ID,84.31,-8.4667,140.3333,heavy intensity rain,
616,Nanakuli,US,87.75,21.3906,-158.1547,clear sky,Camp Pālehua
618,Pochutla,MX,78.82,15.7432,-96.4661,broken clouds,Hotel Posada San Jose
