City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Los Llanos De Aridane,ES,2022-09-26 00:55:32,28.6585,-17.9182,68.13,97,100,16.11
112,Grozesti,RO,2022-09-26 00:55:33,44.65,23.3167,57.88,57,100,4.09
113,Doctor Juan Manuel Frutos,PY,2022-09-26 00:55:33,-25.3667,-55.8,59.76,98,100,6.98
114,Paoua,CF,2022-09-26 00:55:34,7.2427,16.4406,68.32,97,93,1.5
115,Catuday,PH,2022-09-26 00:55:34,16.2923,119.8062,78.37,81,100,28.01
116,Elk Plain,US,2022-09-26 00:55:35,47.0532,-122.3976,79.32,51,0,9.22
117,Iqaluit,CA,2022-09-26 00:53:40,63.7506,-68.5145,33.53,80,20,4.61
118,Norman Wells,CA,2022-09-26 00:55:35,65.282,-126.8329,51.84,54,20,5.75
119,Otukpo,NG,2022-09-26 00:55:36,7.1913,8.1329,72.36,96,100,7.27
120,Zagoryanskiy,RU,2022-09-26 00:55:36,55.9325,37.9581,44.24,91,100,3.6
121,Gondanglegi,ID,2022-09-26 00:55:37,-7.7479,112.0132,83.3,62,55,17.72
122,Talara,PE,2022-09-26 00:55:37,-4.5772,-81.2719,63.41,84,100,19.08
123,Kruisfontein,ZA,2022-09-26 00:55:38,-34.0033,24.7314,56.88,87,100,4.74
124,Verkhnyaya Toyma,RU,2022-09-26 00:55:38,62.2349,44.9985,37.98,87,100,10.04
125,Hofn,IS,2022-09-26 00:55:39,64.2539,-15.2082,41.63,51,0,24.83
126,Hithadhoo,MV,2022-09-26 00:55:25,-0.6,73.0833,81.0,75,99,13.71
127,Petropavlovsk-Kamchatskiy,RU,2022-09-26 00:55:39,53.0452,158.6483,48.79,100,100,2.24
128,Todos Santos,MX,2022-09-26 00:55:40,23.45,-110.2167,80.65,88,84,5.88
129,Tezu,IN,2022-09-26 00:55:40,27.9167,96.1667,74.28,90,100,1.7
130,Narasannapeta,IN,2022-09-26 00:55:40,18.4167,84.05,78.39,86,100,3.47
131,Tuktoyaktuk,CA,2022-09-26 00:55:41,69.4541,-133.0374,33.8,75,100,8.05
132,Kushima,JP,2022-09-26 00:55:41,31.4583,131.2333,81.75,71,61,6.73
133,Sijunjung,ID,2022-09-26 00:55:42,-0.6876,100.9537,74.86,87,100,0.96
134,Deyang,CN,2022-09-26 00:55:43,31.1302,104.382,66.43,87,100,1.95
135,Bikaner,IN,2022-09-26 00:54:24,28.0167,73.3,82.98,54,94,7.99
136,Kenai,US,2022-09-26 00:56:44,60.5544,-151.2583,55.02,73,100,5.37
137,Villazon,BO,2022-09-26 00:56:44,-22.0866,-65.5942,43.09,16,0,2.42
138,Souillac,MU,2022-09-26 00:56:38,-20.5167,57.5167,70.18,83,20,8.05
139,Yerbogachen,RU,2022-09-26 00:56:45,61.2767,108.0108,31.78,94,100,4.21
140,Camopi,GF,2022-09-26 00:56:45,3.1655,-52.3158,72.43,96,3,4.34
141,Coquimbo,CL,2022-09-26 00:56:46,-29.9533,-71.3436,53.33,87,0,9.22
142,Manta,EC,2022-09-26 00:52:12,-0.95,-80.7333,69.58,83,75,14.97
143,Sidi Ali,DZ,2022-09-26 00:56:46,36.0998,0.4206,69.33,73,100,6.91
144,Killybegs,IE,2022-09-26 00:56:47,54.6333,-8.45,53.78,72,16,26.37
145,Hasaki,JP,2022-09-26 00:56:47,35.7333,140.8333,79.21,72,7,12.77
146,Aklavik,CA,2022-09-26 00:56:48,68.2191,-135.0107,38.7,81,100,0.85
147,Victoria,HK,2022-09-26 00:56:48,22.2855,114.1577,84.96,70,26,8.01
148,Lhokseumawe,ID,2022-09-26 00:56:49,5.1801,97.1507,78.21,82,100,3.98
149,Dzilam Gonzalez,MX,2022-09-26 00:56:49,21.2833,-88.9333,79.77,80,6,8.08
150,Shache,CN,2022-09-26 00:56:49,38.4167,77.2406,65.71,42,0,3.36
151,Riberalta,BO,2022-09-26 00:56:50,-10.9833,-66.1,84.45,44,71,1.12
152,College,US,2022-09-26 00:56:50,64.8569,-147.8028,54.21,58,72,1.99
153,Airai,TL,2022-09-26 00:56:51,-8.9266,125.4092,76.51,32,90,1.79
154,Yulara,AU,2022-09-26 00:56:51,-25.2406,130.9889,71.02,46,6,18.12
155,Stornoway,GB,2022-09-26 00:56:52,58.2093,-6.3865,49.03,75,97,11.01
156,Kodiak,US,2022-09-26 00:56:52,57.79,-152.4072,50.41,73,100,6.93
157,Lebu,CL,2022-09-26 00:56:53,-37.6167,-73.65,48.63,84,100,9.28
158,East London,ZA,2022-09-26 00:56:53,-33.0153,27.9116,65.8,76,100,5.5
159,Kodinsk,RU,2022-09-26 00:56:54,58.6881,99.1844,32.76,88,100,2.98
